base_name,mean_score,std_score,mean_confidence,std_confidence,sample_size,score_cv,confidence_cv
2025-01-29_17-41-03_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0041_arena_1_20250307_110526_950,3.266666666666666,4.186088070422471,3.783333333333333,4.95084167928377,3,128.14555317619812,130.85925143481333
2025-01-29_17-41-03_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0050_arena_3_20250307_110538_455,1.0,,0.99,,1,,
2025-01-29_17-41-03_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0021_arena_1_20250307_110450_165,0.9666666666666667,0.05773502691896257,0.9833333333333334,0.028867513459481315,3,5.972588991616817,2.9356793348625065
2025-01-29_17-41-03_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0059_arena_1_20250307_110549_066,0.95,0.07071067811865474,0.925,0.03535533905932733,2,7.443229275647867,3.8221988172245758
2025-01-29_17-41-03_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0027_arena_6_20250307_110500_754,0.95,0.07071067811865474,0.97,0.028284271247461926,2,7.443229275647867,2.9159042523156624
2025-01-29_17-41-03_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0076_arena_6_20250307_110609_051,0.95,0.07071067811865474,0.975,0.03535533905932741,2,7.443229275647867,3.6261886214694785
2025-01-29_17-41-03_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0001_arena_2_20250307_110416_791,0.95,0.07071067811865474,0.975,0.03535533905932741,2,7.443229275647867,3.6261886214694785
2025-01-29_17-41-03_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0062_arena_5_20250307_110552_673,0.95,0.07071067811865474,0.975,0.03535533905932741,2,7.443229275647867,3.6261886214694785
2025-01-29_17-41-03_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0040_arena_1_20250307_110524_747,0.95,0.07071067811865474,0.875,0.10606601717798207,2,7.443229275647867,12.121830534626522
2025-01-29_17-41-03_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0032_arena_4_20250307_110509_412,0.94,0.056568542494923775,0.95,0.0,2,6.017930052651465,0.0
